room_type,required_car_parking_spaces,special_requests,rate,total_guests,hotel_type,parking,restaurant,pool_and_spa,avg_review,cancelled_last_30_days,advance_reservation_days,board_FB,board_SC,distribution_channel_Direct,distribution_channel_TA/TO,country_POR,country_SPA,market_segment_Complementary,market_segment_Direct,market_segment_Leisure
1,0,0,0.5377642068132067,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8182979015021435,0,0,0,1,0,1,0,0,1
1,0,0,1.6025605122397866,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,0,1,0,1,0,0,1
0,0,0,0.5200926042608831,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,1,0,0,1,0,1,0
1,0,0,-1.1464930080644833,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,1,0,0,1,0,1,0
1,0,1,-0.6021941907611317,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7804479698601813,0,0,1,0,0,1,0,0,0
1,0,1,-1.0907477897215623,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,1,0,0,1,0,1,0
1,0,0,-1.109538312758502,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.5154984483664454,0,0,0,0,0,1,0,0,0
0,0,0,-1.1220653281164619,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,1,0,0,1,0,1,0
0,0,0,-1.1220653281164619,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,1,0,0,1,0,1,0
1,0,1,-0.7775724057725683,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.42087361926153977,0,0,0,0,0,1,0,0,0
1,0,0,-1.1283288357954417,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8561478331441058,0,0,1,0,0,1,0,1,0
1,0,0,-1.0343762206107434,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.8750727989650869,0,0,1,0,0,1,0,1,0
0,0,1,-0.213856714664379,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,0,0,0,1,0,0,0
1,0,0,-0.7149373289827695,-0.3911256378989827,1,0,1,0,1.384782998553706,0,0.9227989540281206,0,0,0,1,0,1,0,0,1
1,0,0,-0.7149373289827695,-0.3911256378989827,1,0,1,0,1.384782998553706,0,0.9227989540281206,0,0,0,1,0,1,0,0,1
1,0,0,-0.7149373289827695,-0.3911256378989827,1,0,1,0,1.384782998553706,0,0.9227989540281206,0,0,0,1,0,1,0,0,1
1,0,0,-0.6523022521929707,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8372228673231247,0,0,0,0,0,1,0,0,0
1,0,0,-0.6523022521929707,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7804479698601813,0,0,0,0,0,1,0,0,0
1,0,0,-1.0343762206107434,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,1,-1.2034909279432002,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.6668981749342945,0,0,0,0,0,1,0,0,0
1,0,1,-1.2034909279432002,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.6668981749342945,0,0,0,0,0,1,0,0,0
1,0,0,-1.0343762206107434,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,1,-1.1847004049062606,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.36409872179859637,0,0,0,0,0,1,0,0,0
1,0,1,-1.3350245892017778,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8372228673231247,0,0,1,0,0,1,0,0,0
1,0,1,0.1306988427563042,-0.3911256378989827,1,0,1,0,1.384782998553706,1,-0.8372228673231247,0,0,1,0,0,1,0,1,0
0,0,1,-0.06979603804784175,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8372228673231247,0,0,1,0,0,1,0,1,0
0,0,1,-0.06979603804784175,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8372228673231247,0,0,1,0,0,1,0,1,0
1,0,0,-1.5918284040399528,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,-0.6523022521929707,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,0,0,0,1,0,0,0
1,0,0,-0.8777885286362465,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,1,0,0,1,0,1,0
0,0,0,2.4731880796179904,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7047481065762567,0,0,1,0,0,1,0,1,0
1,0,0,1.4428410664257996,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7993729356811624,0,0,1,0,0,1,0,1,0
1,0,0,-0.7587818827356286,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
1,0,0,-0.8777885286362465,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7993729356811624,0,0,0,0,0,1,0,0,0
1,0,1,-0.9967951745368642,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.6858231407552756,0,0,0,0,0,1,0,0,0
1,0,1,-0.9967951745368642,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.6858231407552756,0,0,0,0,0,1,0,0,0
1,0,0,0.01795570453466633,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,1,0,1,0,0,1
1,0,0,0.01795570453466633,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,1,0,1,0,0,1
1,0,0,0.01795570453466633,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,1,0,1,0,0,1
1,0,0,0.01795570453466633,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,1,0,1,0,0,1
1,0,0,0.01795570453466633,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,1,0,1,0,0,1
1,0,0,0.01795570453466633,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.7615230040392001,0,0,0,1,0,1,0,0,1
0,0,1,2.0973776188791975,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.45872355090350203,0,0,1,0,0,1,0,1,0
1,0,0,-0.949818866944515,-0.3911256378989827,1,0,1,0,1.384782998553706,0,-0.8750727989650869,0,0,1,0,0,1,0,1,0
